1
Standard deviation, Daily Patient count ,1.59
Mean, Daily Patient count ,27.17
2
Standard deviation, Daily wait time ,0.00
Mean, Daily wait time ,0.00
3
Standard deviation, Long wait time count ,0.00
Mean, Long wait time count ,0.00
4
Standard deviation, Long wait time ,0.00
Mean, Long wait time ,0.00
5
Standard deviation, Patients canclled ,0.00
Mean, Patients canclled ,0.00
6
Standard deviation, Doctor Lunch Skipped ,0.00
Mean, Doctor Lunch Skipped ,0.00
7
Standard deviation, Total Minutes ,0.00
Mean, Total Minutes ,0.00
8
Standard deviation, Overtime Minutes ,0.00
Mean, Overtime Minutes ,0.00
9
Standard deviation, Idle Minutes ,37.11
Mean, Idle Minutes ,61.14
