10
Standard deviation, Daily Patient count , 5.99
Mean, Daily Patient count , 33.10
11
Standard deviation, Daily Patient wait time , 853.40
Mean, Daily Patient wait time , 509.17
12
Standard deviation, Long patient count , 10.12
Mean, Long patient count , 8.51
13
Standard deviation, Long patient time , 852.29
Mean, Long patient time , 475.36
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 82.54
Mean, Daily patient treatment , 314.64
16
Standard deviation, Daily Overtime , 21.90
Mean, Daily Overtime , 5.75
17
Standard deviation, Daily doctor idle , 305.04
Mean, Daily doctor idle , 434.70
